ccgcode,indicator_group,Register_description,disease_register_size,ccg_listsize,prevalence
10H,OB,Obesity,17450,330028,5.2874301574
10H,OST,Osteoporosis,444,330028,0.1345340395
10H,PAD,Peripheral Atrial Disease,1790,330028,0.5423782225
10H,PC,Palliative Care,850,330028,0.2575539045
10H,RA,Rheumatoid Arthritis,1558,330028,0.4720811568
10H,SMOK,Smoking Indicators,73579,330028,22.294774989
10H,STIA,Stroke,5392,330028,1.6338007684
10H,THY,Thyroid,8997,330028,2.7261323282
10J,AF,Atrial Fibrillation,2987,218955,1.3642072572
10J,AST,Asthma,13089,218955,5.9779406727
10J,CAN,Cancer,4617,218955,2.1086524628
10J,CHD,Coronary Heart Disease,5713,218955,2.6092119385
10J,CKD,Chronic Kidney Disease,6521,218955,2.9782375374
10J,COPD,Chronic Obstructive Pulmonary Disease,2717,218955,1.2408942477
10J,CVDPP,Cardiovascular Disease - Primary Prevention,5956,218955,2.7201936471
10J,DEM,Dementia,1215,218955,0.5549085429
10J,DEP,Depression,13817,218955,6.3104290836
10J,DM,Diabetes,9953,218955,4.5456829029
10J,EP,Epilepsy,1216,218955,0.5553652577
10J,HF,Heart Failure,953,218955,0.4352492521
10J,HF,Heart Failure due to LVD,168,218955,0.0767280948
10J,HYP,Hypertension,26826,218955,12.251832568
10J,LD,Learning  Disabilities,627,218955,0.286360211
10J,MH,Mental Health,1444,218955,0.6594962435
10J,OB,Obesity,14736,218955,6.7301500308
10J,OST,Osteoporosis,265,218955,0.1210294353
10J,PAD,Peripheral Atrial Disease,1187,218955,0.542120527
10J,PC,Palliative Care,1150,218955,0.5252220776
10J,RA,Rheumatoid Arthritis,1124,218955,0.5133474915
10J,SMOK,Smoking Indicators,47487,218955,21.688018086
10J,STIA,Stroke,3087,218955,1.4098787422
10J,THY,Thyroid,8412,218955,3.8418853189
10K,AF,Atrial Fibrillation,3760,201596,1.8651163714
10K,AST,Asthma,12672,201596,6.2858390047
10K,CAN,Cancer,4979,201596,2.4697910673
10K,CHD,Coronary Heart Disease,7302,201596,3.6220956765
10K,CKD,Chronic Kidney Disease,6373,201596,3.1612730411
10K,COPD,Chronic Obstructive Pulmonary Disease,3230,201596,1.6022143296
10K,CVDPP,Cardiovascular Disease - Primary Prevention,5458,201596,2.707394988
10K,DEM,Dementia,1413,201596,0.700906764
10K,DEP,Depression,10706,201596,5.3106212425
10K,DM,Diabetes,10138,201596,5.0288696204
10K,EP,Epilepsy,1279,201596,0.6344371912
10K,HF,Heart Failure,1391,201596,0.6899938491
10K,HF,Heart Failure due to LVD,290,201596,0.1438520606
10K,HYP,Hypertension,31266,201596,15.509236294
10K,LD,Learning  Disabilities,515,201596,0.2554614179
10K,MH,Mental Health,1484,201596,0.7361257168
10K,OB,Obesity,16166,201596,8.0190083137
10K,OST,Osteoporosis,300,201596,0.1488124764
10K,PAD,Peripheral Atrial Disease,1308,201596,0.6488223973
10K,PC,Palliative Care,388,201596,0.1924641362
10K,RA,Rheumatoid Arthritis,1152,201596,0.5714399095
10K,SMOK,Smoking Indicators,51857,201596,25.723228635
10K,STIA,Stroke,3833,201596,1.9013274073
10K,THY,Thyroid,6498,201596,3.2232782396
10L,AF,Atrial Fibrillation,2968,141554,2.0967263377
10L,AST,Asthma,9685,141554,6.8419119205
10L,CAN,Cancer,3876,141554,2.7381776566
10L,CHD,Coronary Heart Disease,5627,141554,3.9751614225
10L,CKD,Chronic Kidney Disease,5233,141554,3.6968224141
10L,COPD,Chronic Obstructive Pulmonary Disease,2601,141554,1.8374613222
10L,CVDPP,Cardiovascular Disease - Primary Prevention,3752,141554,2.6505785778
10L,DEM,Dementia,1687,141554,1.1917713381
10L,DEP,Depression,6254,141554,4.4181019258
10L,DM,Diabetes,7585,141554,5.3583791345
10L,EP,Epilepsy,1008,141554,0.7120957373
10L,HF,Heart Failure,1234,141554,0.8717521229
10L,HF,Heart Failure due to LVD,405,141554,0.2861098945
10L,HYP,Hypertension,24238,141554,17.122794128
10L,LD,Learning  Disabilities,840,141554,0.5934131144
10L,MH,Mental Health,1521,141554,1.0745016036
10L,OB,Obesity,13605,141554,9.6111731212
10L,OST,Osteoporosis,375,141554,0.2649165689
10L,PAD,Peripheral Atrial Disease,1211,141554,0.8555039066
10L,PC,Palliative Care,333,141554,0.2352459132
10L,RA,Rheumatoid Arthritis,1091,141554,0.7707306046
10L,SMOK,Smoking Indicators,40590,141554,28.674569422
10L,STIA,Stroke,3375,141554,2.3842491205
10L,THY,Thyroid,6485,141554,4.5812905322
10M,AF,Atrial Fibrillation,1658,115647,1.4336731606
10M,AST,Asthma,7488,115647,6.4748761317
10M,CAN,Cancer,2401,115647,2.0761455118
10M,CHD,Coronary Heart Disease,2861,115647,2.4739076673
10M,CKD,Chronic Kidney Disease,3312,115647,2.8638875198
10M,COPD,Chronic Obstructive Pulmonary Disease,1360,115647,1.1759924598
10M,CVDPP,Cardiovascular Disease - Primary Prevention,3051,115647,2.6382007315
10M,DEM,Dementia,663,115647,0.5732963242
10M,DEP,Depression,5398,115647,4.6676524251
10M,DM,Diabetes,4200,115647,3.63174142
10M,EP,Epilepsy,658,115647,0.5689728225
10M,HF,Heart Failure,588,115647,0.5084437988
10M,HF,Heart Failure due to LVD,82,115647,0.0709054277
10M,HYP,Hypertension,14503,115647,12.540749003
10M,LD,Learning  Disabilities,391,115647,0.3380978322
10M,MH,Mental Health,751,115647,0.6493899539
10M,OB,Obesity,7416,115647,6.4126177073
10M,OST,Osteoporosis,124,115647,0.1072228419
10M,PAD,Peripheral Atrial Disease,557,115647,0.4816380883
10M,PC,Palliative Care,149,115647,0.1288403504
10M,RA,Rheumatoid Arthritis,624,115647,0.539573011
10M,SMOK,Smoking Indicators,25219,115647,21.806877826
10M,STIA,Stroke,1640,115647,1.4181085545
10M,THY,Thyroid,3378,115647,2.9209577421
10N,AF,Atrial Fibrillation,1479,109093,1.3557240153
10N,AST,Asthma,7175,109093,6.576957275
10N,CAN,Cancer,2405,109093,2.2045410796
10N,CHD,Coronary Heart Disease,2638,109093,2.4181203194
10N,CKD,Chronic Kidney Disease,3480,109093,3.1899388595
10N,COPD,Chronic Obstructive Pulmonary Disease,1288,109093,1.1806440377
10N,CVDPP,Cardiovascular Disease - Primary Prevention,2686,109093,2.462119476
10N,DEM,Dementia,604,109093,0.5536560549
10N,DEP,Depression,6272,109093,5.7492231399
10N,DM,Diabetes,3957,109093,3.627180479
10N,EP,Epilepsy,617,109093,0.5655724932
10N,HF,Heart Failure,651,109093,0.5967385625
10N,HF,Heart Failure due to LVD,205,109093,0.187913065
10N,HYP,Hypertension,14357,109093,13.160331094
10N,LD,Learning  Disabilities,362,109093,0.3318269733
10N,MH,Mental Health,799,109093,0.7324026289
10N,OB,Obesity,6747,109093,6.1846314612
10N,OST,Osteoporosis,215,109093,0.197079556
10N,PAD,Peripheral Atrial Disease,475,109093,0.4354083213
10N,PC,Palliative Care,262,109093,0.2401620636
10N,RA,Rheumatoid Arthritis,508,109093,0.4656577416
10N,SMOK,Smoking Indicators,24225,109093,22.205824388
10N,STIA,Stroke,1462,109093,1.3401409806
10N,THY,Thyroid,3630,109093,3.3274362241
10Q,AF,Atrial Fibrillation,10492,700541,1.497699635
10Q,AST,Asthma,40723,700541,5.8130787491
10Q,CAN,Cancer,16067,700541,2.2935131563
10Q,CHD,Coronary Heart Disease,17869,700541,2.5507429258
10Q,CKD,Chronic Kidney Disease,20604,700541,2.9411554784
10Q,COPD,Chronic Obstructive Pulmonary Disease,8780,700541,1.2533170792
10Q,CVDPP,Cardiovascular Disease - Primary Prevention,18357,700541,2.620403374
10Q,DEM,Dementia,3978,700541,0.5678468498
10Q,DEP,Depression,37002,700541,5.2819178321
10Q,DM,Diabetes,27054,700541,3.8618724671
10Q,EP,Epilepsy,3837,700541,0.5477195482
10Q,HF,Heart Failure,4003,700541,0.5714155203
10Q,HF,Heart Failure due to LVD,1077,700541,0.1537383251
10Q,HYP,Hypertension,84185,700541,12.017141038
10Q,LD,Learning  Disabilities,2156,700541,0.3077621438
10Q,MH,Mental Health,5340,700541,0.7622680186
10Q,OB,Obesity,44534,700541,6.35708688
10Q,OST,Osteoporosis,1289,700541,0.1840006509
10Q,PAD,Peripheral Atrial Disease,3627,700541,0.517742716
10Q,PC,Palliative Care,1700,700541,0.2426695939
10Q,RA,Rheumatoid Arthritis,3432,700541,0.4899070861
10Q,SMOK,Smoking Indicators,147094,700541,20.997200735
10Q,STIA,Stroke,11448,700541,1.6341655949
10Q,THY,Thyroid,19019,700541,2.7149017688
10R,AF,Atrial Fibrillation,3145,218672,1.4382271164
10R,AST,Asthma,13627,218672,6.2317077632
10R,CAN,Cancer,3878,218672,1.7734323553
10R,CHD,Coronary Heart Disease,6321,218672,2.8906307163
10R,CKD,Chronic Kidney Disease,5335,218672,2.4397270798
10R,COPD,Chronic Obstructive Pulmonary Disease,4123,218672,1.8854723056
10R,CVDPP,Cardiovascular Disease - Primary Prevention,5214,218672,2.3843930636
10R,DEM,Dementia,1510,218672,0.6905319382
10R,DEP,Depression,9948,218672,4.5492792859
10R,DM,Diabetes,9678,218672,4.4258066876
10R,EP,Epilepsy,1367,218672,0.6251371918
10R,HF,Heart Failure,1289,218672,0.5894673301
10R,HF,Heart Failure due to LVD,241,218672,0.1102107266
10R,HYP,Hypertension,26119,218672,11.944373308
10R,LD,Learning  Disabilities,728,218672,0.3329187093
10R,MH,Mental Health,1941,218672,0.8876307895
10R,OB,Obesity,16828,218672,7.6955440111
10R,OST,Osteoporosis,348,218672,0.1591424599
10R,PAD,Peripheral Atrial Disease,1352,218672,0.618277603
10R,PC,Palliative Care,1271,218672,0.5812358235
10R,RA,Rheumatoid Arthritis,953,218672,0.4358125412
10R,SMOK,Smoking Indicators,47567,218672,21.752670667
10R,STIA,Stroke,3281,218672,1.5004207214
10R,THY,Thyroid,5399,218672,2.4689946587
10T,AF,Atrial Fibrillation,1112,146836,0.7573074723
10T,AST,Asthma,7783,146836,5.3004712741
10T,CAN,Cancer,1534,146836,1.0447029339
10T,CHD,Coronary Heart Disease,3842,146836,2.616524558
10T,CKD,Chronic Kidney Disease,3278,146836,2.2324225667
10T,COPD,Chronic Obstructive Pulmonary Disease,1596,146836,1.0869269117
10T,CVDPP,Cardiovascular Disease - Primary Prevention,3465,146836,2.3597755319
10T,DEM,Dementia,452,146836,0.3078264186
10T,DEP,Depression,4791,146836,3.2628238307
10T,DM,Diabetes,8996,146836,6.1265629682
10T,EP,Epilepsy,624,146836,0.4249639053
10T,HF,Heart Failure,757,146836,0.5155411479
10T,HF,Heart Failure due to LVD,101,146836,0.0687842219
10T,HYP,Hypertension,16042,146836,10.925113732
10T,LD,Learning  Disabilities,395,146836,0.2690076003
10T,MH,Mental Health,1314,146836,0.894875916
10T,OB,Obesity,10614,146836,7.2284725817
10T,OST,Osteoporosis,102,146836,0.0694652538
10T,PAD,Peripheral Atrial Disease,774,146836,0.5271186902
10T,PC,Palliative Care,195,146836,0.1328012204
10T,RA,Rheumatoid Arthritis,596,146836,0.4058950121
10T,SMOK,Smoking Indicators,29134,146836,19.841183361
10T,STIA,Stroke,1590,146836,1.0828407203
10T,THY,Thyroid,4333,146836,2.9509112207
10V,AF,Atrial Fibrillation,4151,209540,1.9810060132
10V,AST,Asthma,13113,209540,6.2579937005
10V,CAN,Cancer,5384,209540,2.5694378162
10V,CHD,Coronary Heart Disease,7914,209540,3.7768445166
10V,CKD,Chronic Kidney Disease,8300,209540,3.9610575546
10V,COPD,Chronic Obstructive Pulmonary Disease,3890,209540,1.8564474563
10V,CVDPP,Cardiovascular Disease - Primary Prevention,5855,209540,2.7942159015
10V,DEM,Dementia,1699,209540,0.8108237091
10V,DEP,Depression,10323,209540,4.9265056791
10V,DM,Diabetes,10620,209540,5.0682447265
10V,EP,Epilepsy,1420,209540,0.6776749069
10V,HF,Heart Failure,1405,209540,0.6705163692
10V,HF,Heart Failure due to LVD,369,209540,0.1761000286
10V,HYP,Hypertension,32213,209540,15.373198435
10V,LD,Learning  Disabilities,830,209540,0.3961057555
10V,MH,Mental Health,1643,209540,0.7840985015
10V,OB,Obesity,18094,209540,8.6351054691
10V,OST,Osteoporosis,610,209540,0.2911138685
10V,PAD,Peripheral Atrial Disease,1641,209540,0.7831440298
10V,PC,Palliative Care,868,209540,0.4142407178
10V,RA,Rheumatoid Arthritis,1176,209540,0.5612293595
10V,SMOK,Smoking Indicators,54184,209540,25.858547294
10V,STIA,Stroke,4021,209540,1.9189653527
10V,THY,Thyroid,7073,209540,3.3754891667
10W,AF,Atrial Fibrillation,1125,133544,0.842418978
10W,AST,Asthma,6598,133544,4.9406937039
10W,CAN,Cancer,1578,133544,1.1816330198
10W,CHD,Coronary Heart Disease,2260,133544,1.6923261247
10W,CKD,Chronic Kidney Disease,3238,133544,2.4246690229
10W,COPD,Chronic Obstructive Pulmonary Disease,1238,133544,0.9270352843
10W,CVDPP,Cardiovascular Disease - Primary Prevention,2941,133544,2.2022704127
10W,DEM,Dementia,467,133544,0.349697478
10W,DEP,Depression,3876,133544,2.9024141856
10W,DM,Diabetes,4866,133544,3.6437428862
10W,EP,Epilepsy,601,133544,0.4500389385
10W,HF,Heart Failure,520,133544,0.3893847721
10W,HF,Heart Failure due to LVD,149,133544,0.1115737135
10W,HYP,Hypertension,13626,133544,10.203378662
10W,LD,Learning  Disabilities,454,133544,0.3399628587
10W,MH,Mental Health,1063,133544,0.7959923321
10W,OB,Obesity,7911,133544,5.9238902534
10W,OST,Osteoporosis,102,133544,0.0763793207
10W,PAD,Peripheral Atrial Disease,395,133544,0.2957826634
10W,PC,Palliative Care,202,133544,0.1512610076
10W,RA,Rheumatoid Arthritis,486,133544,0.3639249985
10W,SMOK,Smoking Indicators,27720,133544,20.757203618
10W,STIA,Stroke,1181,133544,0.8843527227
10W,THY,Thyroid,3325,133544,2.4898160906
10X,AF,Atrial Fibrillation,3385,269948,1.2539452043
10X,AST,Asthma,16157,269948,5.9852267844
10X,CAN,Cancer,4147,269948,1.5362217909
10X,CHD,Coronary Heart Disease,6914,269948,2.5612340154
10X,CKD,Chronic Kidney Disease,6840,269948,2.5338213286
10X,COPD,Chronic Obstructive Pulmonary Disease,5438,269948,2.0144620445
10X,CVDPP,Cardiovascular Disease - Primary Prevention,6480,269948,2.4004623113
10X,DEM,Dementia,1467,269948,0.5434379955
10X,DEP,Depression,15174,269948,5.6210825789
10X,DM,Diabetes,11854,269948,4.3912160861
10X,EP,Epilepsy,1654,269948,0.6127105961
10X,HF,Heart Failure,1647,269948,0.6101175041
10X,HF,Heart Failure due to LVD,536,269948,0.1985567591
10X,HYP,Hypertension,29238,269948,10.830974854
10X,LD,Learning  Disabilities,982,269948,0.3637737638
10X,MH,Mental Health,2866,269948,1.0616859543
10X,OB,Obesity,18585,269948,6.8846592677
10X,OST,Osteoporosis,265,269948,0.0981670544
10X,PAD,Peripheral Atrial Disease,1644,269948,0.609006179
10X,PC,Palliative Care,485,269948,0.1796642316
10X,RA,Rheumatoid Arthritis,1321,269948,0.4893535051
10X,SMOK,Smoking Indicators,55812,269948,20.675092981
10X,STIA,Stroke,3994,269948,1.4795442085
10X,THY,Thyroid,6431,269948,2.3823106672
10Y,AF,Atrial Fibrillation,3435,202600,1.6954590326
10Y,AST,Asthma,12904,202600,6.3692003949
10Y,CAN,Cancer,4421,202600,2.1821322804
10Y,CHD,Coronary Heart Disease,6388,202600,3.1530108588
10Y,CKD,Chronic Kidney Disease,4863,202600,2.40029615
10Y,COPD,Chronic Obstructive Pulmonary Disease,3027,202600,1.494076999
10Y,CVDPP,Cardiovascular Disease - Primary Prevention,6587,202600,3.2512339585
10Y,DEM,Dementia,1230,202600,0.6071076012
10Y,DEP,Depression,10888,202600,5.374136229
10Y,DM,Diabetes,9227,202600,4.5542941757
10Y,EP,Epilepsy,1091,202600,0.5384995064
10Y,HF,Heart Failure,1196,202600,0.5903257651
10Y,HF,Heart Failure due to LVD,320,202600,0.157946693
10Y,HYP,Hypertension,26955,202600,13.304540967
10Y,LD,Learning  Disabilities,653,202600,0.3223099704
10Y,MH,Mental Health,1384,202600,0.6831194472
10Y,OB,Obesity,11618,202600,5.7344521224
10Y,OST,Osteoporosis,144,202600,0.0710760118
10Y,PAD,Peripheral Atrial Disease,1160,202600,0.5725567621
10Y,PC,Palliative Care,494,202600,0.2438302073
10Y,RA,Rheumatoid Arthritis,1153,202600,0.5691016782
10Y,SMOK,Smoking Indicators,46542,202600,22.972359329
10Y,STIA,Stroke,3058,202600,1.5093780849
10Y,THY,Thyroid,5717,202600,2.821816387
11A,AF,Atrial Fibrillation,10251,536744,1.9098490155
11A,AST,Asthma,32990,536744,6.1463192882
11A,CAN,Cancer,13491,536744,2.5134887395
11A,CHD,Coronary Heart Disease,18073,536744,3.3671545467
11A,CKD,Chronic Kidney Disease,16904,536744,3.1493598438
11A,COPD,Chronic Obstructive Pulmonary Disease,8224,536744,1.532201571
11A,CVDPP,Cardiovascular Disease - Primary Prevention,14639,536744,2.7273709627
11A,DEM,Dementia,4295,536744,0.8001952514
11A,DEP,Depression,25659,536744,4.7804912584
11A,DM,Diabetes,22982,536744,4.2817432519
11A,EP,Epilepsy,3159,536744,0.5885487309
11A,HF,Heart Failure,3602,536744,0.6710834215
11A,HF,Heart Failure due to LVD,1166,536744,0.2172357772
11A,HYP,Hypertension,77566,536744,14.451209515
11A,LD,Learning  Disabilities,1607,536744,0.2993978507
11A,MH,Mental Health,3704,536744,0.6900868943
11A,OB,Obesity,32663,536744,6.0853963901
11A,OST,Osteoporosis,963,536744,0.1794151402
11A,PAD,Peripheral Atrial Disease,3111,536744,0.5796059201
11A,PC,Palliative Care,1038,536744,0.1933882819
11A,RA,Rheumatoid Arthritis,3324,536744,0.6192896427
11A,SMOK,Smoking Indicators,131472,536744,24.494358577
11A,STIA,Stroke,11005,536744,2.0503256674
11A,THY,Thyroid,17453,536744,3.2516432415
11C,AF,Atrial Fibrillation,2319,153155,1.5141523293
11C,AST,Asthma,7986,153155,5.2143253567
11C,CAN,Cancer,2908,153155,1.8987300447
11C,CHD,Coronary Heart Disease,3942,153155,2.5738630799
11C,CKD,Chronic Kidney Disease,4245,153155,2.7717018707
11C,COPD,Chronic Obstructive Pulmonary Disease,1540,153155,1.0055172864
11C,CVDPP,Cardiovascular Disease - Primary Prevention,3287,153155,2.1461917665
11C,DEM,Dementia,937,153155,0.6117985048
11C,DEP,Depression,4633,153155,3.0250399922
11C,DM,Diabetes,6236,153155,4.0716920767
11C,EP,Epilepsy,703,153155,0.4590121119
11C,HF,Heart Failure,821,153155,0.5360582417
11C,HF,Heart Failure due to LVD,128,153155,0.0835754628
11C,HYP,Hypertension,17033,153155,11.121412948
11C,LD,Learning  Disabilities,328,153155,0.2141621233
11C,MH,Mental Health,1039,153155,0.6783977017
11C,OB,Obesity,7892,153155,5.1529496262
11C,OST,Osteoporosis,124,153155,0.0809637296
11C,PAD,Peripheral Atrial Disease,706,153155,0.4609709118
11C,PC,Palliative Care,264,153155,0.172374392
11C,RA,Rheumatoid Arthritis,654,153155,0.4270183801
11C,SMOK,Smoking Indicators,30158,153155,19.691162548
11C,STIA,Stroke,2319,153155,1.5141523293
11C,THY,Thyroid,4758,153155,3.106656655
11D,AF,Atrial Fibrillation,2292,156832,1.4614364415
11D,AST,Asthma,9874,156832,6.2959089982
11D,CAN,Cancer,3568,156832,2.275045909
11D,CHD,Coronary Heart Disease,3882,156832,2.475260151
11D,CKD,Chronic Kidney Disease,4682,156832,2.9853601306
11D,COPD,Chronic Obstructive Pulmonary Disease,1522,156832,0.9704652112
11D,CVDPP,Cardiovascular Disease - Primary Prevention,3725,156832,2.37515303
11D,DEM,Dementia,940,156832,0.599367476
11D,DEP,Depression,6978,156832,4.449347072
11D,DM,Diabetes,5581,156832,3.5585849827
11D,EP,Epilepsy,773,156832,0.4928841053
11D,HF,Heart Failure,727,156832,0.4635533565
11D,HF,Heart Failure due to LVD,174,156832,0.1109467456
11D,HYP,Hypertension,19028,156832,12.132728015
11D,LD,Learning  Disabilities,553,156832,0.3526066109
11D,MH,Mental Health,766,156832,0.4884207305
11D,OB,Obesity,8215,156832,5.2380891655
11D,OST,Osteoporosis,169,156832,0.1077586207
11D,PAD,Peripheral Atrial Disease,605,156832,0.3857631096
11D,PC,Palliative Care,241,156832,0.1536676189
11D,RA,Rheumatoid Arthritis,795,156832,0.5069118547
11D,SMOK,Smoking Indicators,33206,156832,21.172974903
11D,STIA,Stroke,2156,156832,1.374719445
11D,THY,Thyroid,5535,156832,3.5292542338
11E,AF,Atrial Fibrillation,3518,199266,1.7654793091
11E,AST,Asthma,12238,199266,6.1415394498
11E,CAN,Cancer,4627,199266,2.3220218201
11E,CHD,Coronary Heart Disease,5793,199266,2.9071693114
11E,CKD,Chronic Kidney Disease,4798,199266,2.4078367609
11E,COPD,Chronic Obstructive Pulmonary Disease,2762,199266,1.3860869391
11E,CVDPP,Cardiovascular Disease - Primary Prevention,5585,199266,2.8027862254
11E,DEM,Dementia,1173,199266,0.5886603836
11E,DEP,Depression,10251,199266,5.1443798741
11E,DM,Diabetes,7600,199266,3.8139973703
11E,EP,Epilepsy,1155,199266,0.5796272319
11E,HF,Heart Failure,1549,199266,0.7773528851
11E,HF,Heart Failure due to LVD,417,199266,0.2092680136
11E,HYP,Hypertension,25520,199266,12.807001696
11E,LD,Learning  Disabilities,746,199266,0.3743739524
11E,MH,Mental Health,1609,199266,0.8074633906
11E,OB,Obesity,12425,199266,6.2353838588
11E,OST,Osteoporosis,441,199266,0.2213122158
11E,PAD,Peripheral Atrial Disease,1105,199266,0.554535144
11E,PC,Palliative Care,533,199266,0.2674816577
11E,RA,Rheumatoid Arthritis,1096,199266,0.5500185681
11E,SMOK,Smoking Indicators,43966,199266,22.063974787
11E,STIA,Stroke,3541,199266,1.7770216695
11E,THY,Thyroid,6287,199266,3.1550791404
11H,AF,Atrial Fibrillation,6197,491043,1.2620076042
11H,AST,Asthma,28675,491043,5.8396107876
11H,CAN,Cancer,8636,491043,1.7587054494
11H,CHD,Coronary Heart Disease,11629,491043,2.3682243714
11H,CKD,Chronic Kidney Disease,17019,491043,3.4658879161
11H,COPD,Chronic Obstructive Pulmonary Disease,8120,491043,1.6536230025
11H,CVDPP,Cardiovascular Disease - Primary Prevention,11716,491043,2.3859417607
11H,DEM,Dementia,2535,491043,0.5162480679
11H,DEP,Depression,27669,491043,5.6347407457
11H,DM,Diabetes,19108,491043,3.8913089078
11H,EP,Epilepsy,2954,491043,0.601576644
11H,HF,Heart Failure,2875,491043,0.5854884399
11H,HF,Heart Failure due to LVD,835,491043,0.1700462078
11H,HYP,Hypertension,52978,491043,10.78887185
11H,LD,Learning  Disabilities,1939,491043,0.3948737687
11H,MH,Mental Health,4432,491043,0.9025686142
11H,OB,Obesity,30602,491043,6.2320407785
11H,OST,Osteoporosis,824,491043,0.1678060781
11H,PAD,Peripheral Atrial Disease,2896,491043,0.5897650511
11H,PC,Palliative Care,896,491043,0.1824687451
11H,RA,Rheumatoid Arthritis,2290,491043,0.4663542704
11H,SMOK,Smoking Indicators,106905,491043,21.771005798
11H,STIA,Stroke,7567,491043,1.5410055738
11H,THY,Thyroid,12787,491043,2.6040489326
11J,AF,Atrial Fibrillation,17902,777935,2.301220539
11J,AST,Asthma,50388,777935,6.4771478337
11J,CAN,Cancer,23057,777935,2.963872303
11J,CHD,Coronary Heart Disease,32263,777935,4.1472616607
11J,CKD,Chronic Kidney Disease,33254,777935,4.2746501957
11J,COPD,Chronic Obstructive Pulmonary Disease,14120,777935,1.8150616697
11J,CVDPP,Cardiovascular Disease - Primary Prevention,20988,777935,2.6979117793
11J,DEM,Dementia,7077,777935,0.9097161074
11J,DEP,Depression,41348,777935,5.3150970197
11J,DM,Diabetes,38268,777935,4.9191770521
11J,EP,Epilepsy,4695,777935,0.6035208597
11J,HF,Heart Failure,6701,777935,0.8613830204
11J,HF,Heart Failure due to LVD,1901,777935,0.2443648891
11J,HYP,Hypertension,119445,777935,15.354110562
11J,LD,Learning  Disabilities,3210,777935,0.4126308753
11J,MH,Mental Health,7007,777935,0.9007179263
11J,OB,Obesity,51877,777935,6.6685519998
11J,OST,Osteoporosis,1599,777935,0.205544165
11J,PAD,Peripheral Atrial Disease,5333,777935,0.685532853
11J,PC,Palliative Care,2280,777935,0.2930836124
11J,RA,Rheumatoid Arthritis,5462,777935,0.7021152153
11J,SMOK,Smoking Indicators,205548,777935,26.422258929
11J,STIA,Stroke,17787,777935,2.2864378129
11J,THY,Thyroid,25613,777935,3.2924344579
11M,AF,Atrial Fibrillation,11688,625876,1.8674625645
11M,AST,Asthma,40638,625876,6.49297944
11M,CAN,Cancer,14868,625876,2.3755504285
11M,CHD,Coronary Heart Disease,19939,625876,3.185774818
11M,CKD,Chronic Kidney Disease,31394,625876,5.016009561
11M,COPD,Chronic Obstructive Pulmonary Disease,10539,625876,1.683879874
11M,CVDPP,Cardiovascular Disease - Primary Prevention,17146,625876,2.7395202884
11M,DEM,Dementia,4777,625876,0.7632502285
11M,DEP,Depression,31267,625876,4.9957180016
11M,DM,Diabetes,31125,625876,4.9730298014
11M,EP,Epilepsy,4280,625876,0.6838415277
11M,HF,Heart Failure,4330,625876,0.6918303306
11M,HF,Heart Failure due to LVD,1787,625876,0.2855198154
11M,HYP,Hypertension,87106,625876,13.917453297
11M,LD,Learning  Disabilities,2976,625876,0.4754935482
11M,MH,Mental Health,4607,625876,0.7360882986
11M,OB,Obesity,47345,625876,7.5645974602
11M,OST,Osteoporosis,1107,625876,0.1768720961
11M,PAD,Peripheral Atrial Disease,3504,625876,0.5598553068
11M,PC,Palliative Care,1655,625876,0.2644293758
11M,RA,Rheumatoid Arthritis,4139,625876,0.6613131036
11M,SMOK,Smoking Indicators,159211,625876,25.438105951
11M,STIA,Stroke,11684,625876,1.8668234602
11M,THY,Thyroid,23180,625876,3.7036090216
11N,AF,Atrial Fibrillation,11482,559148,2.0534813681
11N,AST,Asthma,36365,559148,6.5036448311
11N,CAN,Cancer,14491,559148,2.5916215385
11N,CHD,Coronary Heart Disease,21961,559148,3.9275826794
11N,CKD,Chronic Kidney Disease,24147,559148,4.3185346277
11N,COPD,Chronic Obstructive Pulmonary Disease,11188,559148,2.0009013714
11N,CVDPP,Cardiovascular Disease - Primary Prevention,16466,559148,2.9448375028
11N,DEM,Dementia,4407,559148,0.7881634201
11N,DEP,Depression,29676,559148,5.3073604842
11N,DM,Diabetes,27467,559148,4.9122951347
11N,EP,Epilepsy,3902,559148,0.6978474393
11N,HF,Heart Failure,5179,559148,0.9262306223
11N,HF,Heart Failure due to LVD,2193,559148,0.392203853
11N,HYP,Hypertension,82494,559148,14.753517852
11N,LD,Learning  Disabilities,2491,559148,0.4454992238
11N,MH,Mental Health,4066,559148,0.7271777776
11N,OB,Obesity,54362,559148,9.7222917725
11N,OST,Osteoporosis,1042,559148,0.1863549543
11N,PAD,Peripheral Atrial Disease,3923,559148,0.7016031534
11N,PC,Palliative Care,1250,559148,0.2235544078
11N,RA,Rheumatoid Arthritis,3883,559148,0.6944494123
11N,SMOK,Smoking Indicators,142860,559148,25.549586156
11N,STIA,Stroke,13084,559148,2.3399886971
11N,THY,Thyroid,21240,559148,3.798636497
11T,AF,Atrial Fibrillation,4735,213791,2.2147798551
11T,AST,Asthma,13899,213791,6.5012091248
11T,CAN,Cancer,5934,213791,2.7756079536
11T,CHD,Coronary Heart Disease,7833,213791,3.6638586283
11T,CKD,Chronic Kidney Disease,8790,213791,4.1114920647
11T,COPD,Chronic Obstructive Pulmonary Disease,4195,213791,1.9621967248
11T,CVDPP,Cardiovascular Disease - Primary Prevention,7323,213791,3.4253078942
11T,DEM,Dementia,1772,213791,0.8288468645
